SampleID,Latitude,Longitude,Date,Year,Source,SiteName,Detection,Type
SAMN36984865,34.05465048,-118.4633014,,2020,SRA,,,Host
SAMN3697071,34.05465048,-118.4633014,,2020,SRA,,,Host
PRJNA245906,46.111312,-118.975056,,2019,SRA,,,Soil
SAMN02786853,47.2755146,-120.8506483,,2010,SRA,,,Soil
SAMN02786849,32.8245525,-117.0951632,,1993,SRA,,,Host
SAMN02786848,36.6126019,120.2586349,,1993,SRA,,,Host
1,35.306296,-119.249462,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
2,35.306329,-119.248911,1/1/22,2022,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
3,35.355204,-119.10035,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
4,35.355208,-119.099824,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
5,35.355233,-119.100503,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
6,35.35525,-119.098152,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
7,35.355264,-119.100464,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
8,35.355265,-119.100258,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
9,35.355266,-119.09991,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
10,35.355284,-119.098033,1/1/22,2022,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
11,35.3553,-119.100326,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
12,35.355308,-119.099208,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
13,35.355342,-119.099916,4/1/21,2021,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
14,35.355355,-119.099937,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
15,35.355358,-119.099957,1/1/22,2022,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
16,35.355392,-119.097473,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
17,35.355393,-119.099112,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
18,35.355398,-119.100219,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
19,35.355401,-119.100103,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
20,35.35542,-119.100599,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
21,35.355428,-119.097328,1/1/22,2022,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
22,35.35544,-119.100211,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
23,35.355441,-119.100307,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
24,35.355457,-119.100412,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
25,35.355497,-119.099945,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
26,35.355516,-119.100439,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
27,35.35577,-119.10067,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
28,35.36416,-119.071243,1/1/22,2022,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
29,35.365235,-119.069166,4/1/21,2021,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
30,35.406603,-118.995477,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
31,35.406608,-118.995388,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
32,35.406644,-118.995221,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
33,35.407745,-118.995018,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
34,35.40849,-118.994645,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
35,35.408562,-118.991592,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
36,35.408663,-118.991039,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
37,35.408691,-118.991103,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
38,35.408717,-118.991095,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
39,35.408747,-118.991115,4/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
40,35.40877778,-118.9912111,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
41,35.408832,-118.990955,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
42,35.408873,-118.991756,10/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
43,35.408889,-118.991356,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
44,35.40889722,-118.9912417,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
45,35.40894444,-118.9914083,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
46,35.40898889,-118.9914083,7/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
47,35.408992,-118.991422,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
48,35.408994,-118.991393,4/1/21,2021,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
49,35.409063,-118.991478,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
50,35.4093,-118.984358,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
51,35.409478,-118.984965,1/1/22,2022,JT_Bakersfield,kern.river,Strong Positive (4 Wells),Soil
52,35.42010556,-118.9698944,7/1/21,2021,JT_Bakersfield,kern.river,Weak Positive (3 Wells),Soil
53,36.146602,-120.33948,1/1/22,2022,JT_Coalinga,los.gatos.creek,Weak Positive (3 Wells),Soil
54,36.147252,-120.339014,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
55,36.150708,-120.346271,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
56,36.150845,-120.346329,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
57,36.150902,-120.346345,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
58,36.151268,-120.346382,1/1/22,2022,JT_Coalinga,los.gatos.creek,Weak Positive (3 Wells),Soil
59,36.151289,-120.346262,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
60,36.151299,-120.346338,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
61,36.151541,-120.3478,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
62,36.151621,-120.351294,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
63,36.151629,-120.349402,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
64,36.151728,-120.346565,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
65,36.15183,-120.351351,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
66,36.152093,-120.351523,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
67,36.152316,-120.351773,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
68,36.152443,-120.352012,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
